# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	16891
#@/user_id	lakuhana
bn[mx vu[dv 	标注	c=15 d=0.019282 t=16891
bn[mx vy[df 	标准	c=3 d=0.00152094 t=16891
bo[cc mo[od 	薄膜	c=0 d=1.02794e-31 t=16891
bo[cc mo[od jp[sk gz[ms 	薄膜结构	c=1 d=1.03309e-30 t=16891
bo[db ww[rl uu[mw 	泊位数	c=1 d=2.83847e-09 t=16891
bo[dy 	波	c=1 d=9.21203e-06 t=16891
bo[dy bo[dy 	波波	c=1 d=5.01389e-26 t=16891
bo[rb 	伯	c=1 d=2.79469e-32 t=16891
bo[uc ke[bk 	博客	c=1 d=1.41218e-31 t=16891
bo[uc ui[ua 	博士	c=0 d=9.053e-08 t=16891
bp[kd 	别	c=6 d=0.000239841 t=16891
bp[kd de[ 	别的	c=1 d=0.217621 t=16891
bp[kd de[bU 	别的	c=1 d=0.831104 t=16891
bp[kd dy[zc 	别蹲	c=1 d=1.19844e-12 t=16891
bp[kd hl[xv 	别慌	c=1 d=2.24745e-27 t=16891
bp[kd jb[lx vh[gi 	别紧张	c=1 d=1.19864e-14 t=16891
bp[kd kj[uo 	别看	c=1 d=0.000934966 t=16891
bp[kd rf[PN de[ 	别人的	c=1 d=2.76077e-06 t=16891
bp[kd rf[pn 	别人	c=16 d=2.84493e-06 t=16891
bp[kd rf[pn uo[ye 	别人说	c=1 d=3.53997e-19 t=16891
bp[kd uo[ye 	别说	c=1 d=7.01268e-32 t=16891
bp[kd uu[lt 	别墅	c=1 d=8.47864e-30 t=16891
bu[ad 	不	c=0 d=1.82932e-18 t=16891
bu[ad ba[fb 	不把	c=0 d=3.38304e-16 t=16891
bu[ad ba[fb yi[aa xp[ve 	不把一些	c=1 d=3.4e-15 t=16891
bu[ad bc[bs hj[rk 	不包含	c=1 d=5.58833e-08 t=16891
bu[ad co[jo 	不错	c=7 d=0.0280154 t=16891
bu[ad da[fd bu[ad 	不打不	c=0 d=2.25488e-08 t=16891
bu[ad da[fd bu[ad da[fd 	不打不打	c=1 d=2.26617e-07 t=16891
bu[ad da[un 	不大	c=2 d=2.25488e-07 t=16891
bu[ad dc[ad yi[aa ge[rl yt[ka 	不到一个月	c=1 d=3.7067e-31 t=16891
bu[ad dd[fj 	不带	c=1 d=5.662e-15 t=16891
bu[ad de[ic 	不得	c=3 d=1.24251e-23 t=16891
bu[ad de[ic bu[ad uo[ye 	不得不说	c=1 d=1.64273e-16 t=16891
bu[ad dn[fu 	不掉	c=1 d=8.4847e-09 t=16891
bu[ad do[xx 	不多	c=1 d=3.6566e-18 t=16891
bu[ad dr[mj 	不断	c=1 d=4.91979e-09 t=16891
bu[ad ds[xv 	不懂	c=3 d=0.000542133 t=16891
bu[ad ds[xv de[ic 	不懂得	c=1 d=1.5656e-09 t=16891
bu[ad dv[yc 	不对	c=4 d=6.47348e-05 t=16891
bu[ad dw[ic jb[vl 	不得劲	c=2 d=5.65746e-25 t=16891
bu[ad dz[le 	不都	c=1 d=2.10165e-32 t=16891
bu[ad dz[le ui[or 	不都是	c=1 d=1.82678e-30 t=16891
bu[ad fa[vd ug[pf 	不发生	c=1 d=1.74971e-23 t=16891
bu[ad ff[bd 	不分	c=1 d=3.78361e-08 t=16891
bu[ad fh[dw bm[rg 	不方便	c=1 d=3.65596e-16 t=16891
bu[ad fh[fw 	不放	c=1 d=4.9495e-21 t=16891
bu[ad fh[nf 	不妨	c=1 d=4.92481e-21 t=16891
bu[ad gc[nk vi[uk 	不告知	c=1 d=0.000391706 t=16891
bu[ad gc[wk 	不高	c=1 d=1.84388e-22 t=16891
bu[ad gg[an xb[lj 	不更新	c=2 d=1.64181e-26 t=16891
